ID,StimType,Region,ROI,Ratio,VolBrain,Mean,Std,Median,Min,Max,MeanTEf,StdTEf,MedianTEf
8,TI 1:1,Electrode,Post,1,19276,0.14424999,0.095934935,0.135218585,0,0.559405457,0.234357061,0.124221928,0.228145535
8,TI 1:1,Hippocampus,Ant,1,11842,0.235001323,0.024664264,0.231549136,0.111560017,0.343743593,0.276700849,0.029435696,0.273563866
8,TI 1:1,Hippocampus,Mid,1,11454,0.265541935,0.030165133,0.269975066,0.129737079,0.406431854,0.281095336,0.031074222,0.282784447
8,TI 1:1,Hippocampus,Post,1,8905,0.222546085,0.023502858,0.224247381,0.128255948,0.307891548,0.26589943,0.021691342,0.268039808
8,TI 1:3,Electrode,Ant,1.5,20747,0.159112801,0.11815221,0.139144529,0,0.753689363,0.257682788,0.124664392,0.252595016
8,TI 1:3,Electrode,Mid,1.5,17442,0.138767358,0.0861633,0.13701953,0,0.427688203,0.309615245,0.146323179,0.312856504
8,TI 1:3,Electrode,Post,1.5,19276,0.075293043,0.047657159,0.071920271,0,0.279702729,0.274698559,0.153007035,0.268605148
8,TI 1:3,Hippocampus,Ant,1.5,11842,0.159200187,0.017874758,0.15810658,0.078030951,0.244043648,0.255851086,0.026799513,0.252455624
8,TI 1:3,Hippocampus,Mid,1.5,11454,0.14367713,0.01832106,0.14182514,0.075844973,0.249002993,0.277965873,0.031465679,0.283542451
8,TI 1:3,Hippocampus,Post,1.5,8905,0.111273043,0.011751429,0.112123691,0.064127974,0.153945774,0.287576103,0.022101753,0.288289078
9,TI 1:1,Electrode,Ant,1,16593,0.159264017,0.076514374,0.176172702,0,0.386246247,0.305125266,0.135222333,0.332286713
9,TI 1:1,Electrode,Mid,1,16414,0.118457165,0.095846626,0.097379642,0,0.595372796,0.191749341,0.103420327,0.177778221
9,TI 1:1,Electrode,Post,1,16698,0.107564707,0.077344286,0.095178928,0,0.429951282,0.205717599,0.110185504,0.193133836
9,TI 1:1,Hippocampus,Ant,1,14776,0.171072227,0.021760887,0.165271111,0.063614249,0.272781253,0.223749663,0.026143208,0.220943552
9,TI 1:1,Hippocampus,Mid,1,15242,0.198736254,0.033788026,0.200310819,0.081789233,0.318220913,0.21847632,0.031127415,0.219470315
9,TI 1:1,Hippocampus,Post,1,9396,0.173238121,0.020188958,0.172311574,0.072083429,0.25481379,0.214043126,0.020081039,0.214727208
9,TI 1:3,Electrode,Ant,1.5,16593,0.199730375,0.102906707,0.220201445,0,0.486379176,0.23345406,0.100174196,0.255165833
9,TI 1:3,Electrode,Mid,1.5,16414,0.081602951,0.068605347,0.063807332,0,0.502731822,0.192909115,0.102172751,0.184665832
9,TI 1:3,Electrode,Post,1.5,16698,0.059042973,0.039377772,0.05501133,0,0.214975641,0.246736161,0.145358816,0.237625953
9,TI 1:3,Hippocampus,Ant,1.5,14776,0.13821355,0.01626419,0.13758117,0.054693919,0.224589497,0.197410945,0.023620217,0.193172835
9,TI 1:3,Hippocampus,Mid,1.5,15242,0.114952916,0.01734972,0.114439756,0.055592034,0.1913158,0.212761564,0.033766661,0.215527922
9,TI 1:3,Hippocampus,Post,1.5,9396,0.08661906,0.010094479,0.086155787,0.036041714,0.127406895,0.234445629,0.02118368,0.235898608
